Country,GDP,GDP per capita
Nigeria,504.203,2326.23
Egypt,469.094,4504.369
South Africa,411.48,6738.926
Algeria,187.155,4151.437
Morocco,142.874,3896.214
Angola,124.794,3790.704
Kenya,114.858,2255.48
Ethiopia,111.181,1097.584
Tanzania,76.582,1245.04
Ghana,75.996,2368.814
Ivory Coast,68.63,2418.436
Democratic Republic of the Congo,63.909,660.21
Uganda,48.352,1105.59
Tunisia,46.282,3815.82
Cameroon,44.212,1584.003
Sudan,42.762,916.033
Libya,40.836,6025.68
Zimbabwe,38.28,2420.22
Senegal,27.542,1558.144
Zambia,27.025,1348.36
Gabon,22.221,10281.775
Guinea,19.745,1345.568
Mali,18.434,857.976
Burkina Faso,18.268,824.884
Botswana,18.005,7347.738
Mozambique,17.873,542.095
Benin,17.547,1366.871
Equatorial Guinea,16.877,11264.416
Madagascar,15.106,521.578
Niger,14.639,561.222
Republic of Congo,14.486,2945.102
Chad,12.945,743.373
Namibia,12.488,4808.922
Rwanda,12.098,912.744
Malawi,11.554,522.963
Mauritius,11.497,9111.606
Mauritania,10.091,2328.251
Somalia,8.416,539.001
Togo,8.359,960.833
South Sudan,4.784,327.898
Eswatini,4.669,4056.177
Sierra Leone,4.101,493.572
Liberia,3.9,735.185
Djibouti,3.725,3665.827
Burundi,3.686,292.619
Lesotho,2.507,1186.744
Central African Republic,2.488,495.936
Eritrea,2.369,646.957
The Gambia,2.172,846.171
Cape Verde,2.053,3600.223
Seychelles,2.005,20265.681
Guinea-Bissau,1.624,856.62
Comoros,1.242,1299.682
São Tomé and Príncipe,0.506,2230.662
Total,2988.527,2175.195
