Country,GDP,GDP per capita
Nigeria,444.916,2233.45
South Africa,371.298,6331.46
Egypt,299.589,3019.72
Algeria,183.687,4229.78
Morocco,121.35,3409.95
Kenya,99.246,2010.51
Angola,92.191,3060.02
Ethiopia,90.968,951.10
Ghana,68.258,2262.57
Tanzania,61.032,1172.18
Democratic Republic of the Congo,48.458,495.08
Côte d'Ivoire,45.252,1722.26
Libya,44.964,6835.62
Cameroon,39.219,1537.61
Tunisia,36.204,3072.51
Uganda,33.569,8[11]28.06
Sudan,31.468,728.06
Senegal,25.32,1510.20
Zambia,24.615,1343.57
Zimbabwe,22.29,1423.49
Botswana,19.651,8263.22
Mali,17.833,933.88
Gabon,16.709,8031.44
Mozambique,15.372,493.37
Burkina Faso,14.882,744.24
Mauritius,14.812,11693.55
Namibia,13.961,5675.11
Madagascar,12.734,470.67
Guinea,12.623,926.33
Equatorial Guinea,12.432,9140.32
Chad,11.372,888.29
Benin,11.184,954.10
Republic of Congo,11.162,2443.75
Rwanda,10.211,829.97
Niger,9.724,487.68
Somalia,7.903,
Eritrea,7.718,1253.06
Malawi,7.436,366.532
Togo,5.592,682.40
Mauritania,5.569,1191.51
Eswatini,4.662,4205.67
Sierra Leone,3.998,516.76
Burundi,3.573,309.87
Liberia,3.221,703.67
South Sudan,3.151,235.52
Lesotho,2.811,1372.51
Djibouti,2.392,2218.05
Central African Republic,2.285,440.99
Cabo Verde,2.042,3650.11
The Gambia,1.741,778.08
Seychelles,1.654,17154.74
Guinea-Bissau,1.538,865.74
Comoros,0.726,832.87
São Tomé and Príncipe,0.477,2147.16
Total,2453.844,
