Countries (or dependent territory),Official figure (where available)
Nigeria,206139589
Ethiopia,120283026
Democratic Republic of the Congo,102561403
Egypt,101334404
South Africa,60142978
Tanzania,59734218
Kenya,47564290
Uganda,45741007
Algeria,44700000
Sudan,42268269
Morocco,37034729
Angola,32097671
Ghana,31072940
Cameroon,28524175
Madagascar,28427328
Mozambique,28013000
Ivory Coast,27087732
Niger,24112753
Mali,20856000
Burkina Faso,18450494
Malawi,16832900
Chad,16818391
Somalia,15893222
Zimbabwe,15790716
Zambia,15473905
Senegal,14354690
South Sudan,13249924
Rwanda,12955768
Guinea,12907395
Benin,12506347
Tunisia,11746695
Burundi,9823828
Sierra Leone,8297882
Togo,7886000
Libya,6959000
Republic of the Congo,5657000
Liberia,4661010
Central African Republic,3859139
Mauritania,3718678
Eritrea,3601000
Namibia,2550226
Gambia,2487000
Botswana,2410338
Gabon,2233272
Lesotho,2007201
Guinea-Bissau,1530673
Equatorial Guinea,1505588
Mauritius,1261208
Eswatini,1119375
Djibouti,976107
Réunion (France),840974
Comoros,806200
Cape Verde,563198
Western Sahara[7],510713
Mayotte (France),212600
São Tomé and Príncipe,201784
Seychelles,99202
"Saint Helena, Ascension and Tristan da Cunha (UK)",5633
