Country,GDP,GDP per capita
Africa,2869.235,2029.242
Egypt,398.397,3770.133
Nigeria,390.002,1755.326
South Africa,380.906,6190.742
Algeria,224.107,4874.706
Ethiopia,155.804,1473.36
Morocco,147.343,3979.871
Kenya,112.749,2187.648
Angola,93.796,2550.001
Tanzania,84.033,1326.634
Ivory Coast,79.43,2728.079
Ghana,76.628,2328.97
DR Congo,67.512,675.477
Uganda,52.39,1163.034
Tunisia,51.271,4190.603
Cameroon,49.262,1721.954
Libya,40.194,5872.222
Zimbabwe,32.424,2005.875
Senegal,31.141,1714.653
Zambia,29.536,1435.89
Sudan,25.569,533.845
Guinea,23.205,1542.757
Mozambique,21.936,647.135
Mali,21.309,912.643
Burkina Faso,20.785,888.029
Botswana,20.756,7758.371
Benin,19.94,1449.112
Gabon,19.319,8831.823
Niger,17.073,630.8
Madagascar,15.763,529.56
Mauritius,14.819,11751.506
Republic of Congo,14.407,2857.614
Rwanda,13.927,1031.692
Malawi,13.176,579.701
Namibia,12.647,4785.679
Chad,12.596,702.845
Somalia,11.515,717.406
Mauritania,10.357,2337.914
Equatorial Guinea,10.041,6502.187
Togo,9.111,1004.466
South Sudan,6.267,417.438
Eswatini,4.648,3995.029
Liberia,4.347,800.213
Djibouti,3.873,3761.241
Sierra Leone,3.519,414.962
Burundi,3.19,245.811
Central African Republic,2.76,539.24
Cape Verde,2.598,4502.784
The Gambia,2.388,903.293
Lesotho,2.373,1110.179
Seychelles,2.085,20889.545
Guinea-Bissau,1.991,1028.223
Eritrea[6],1.982,566.731
Comoros,1.364,1377.022
São Tomé and Príncipe,0.674,2904.715
